timestamp, frame, x, y, z, qx, qy, qz, qw
805731.2392395, 001688, 20.939426, -0.062965766, -4.8343353, -0.17088632, 0.05796516, -0.9835708, -0.0051305806
805731.255915291, 001689, 20.946852, -0.06330612, -4.8245797, -0.16872124, 0.057846975, -0.9839513, -0.005163022
805731.272590541, 001690, 20.956718, -0.06304634, -4.814984, -0.16624296, 0.058608785, -0.984327, -0.005343048
805731.289266375, 001691, 20.967297, -0.062491015, -4.805368, -0.16359787, 0.059671845, -0.98470646, -0.00530301
805731.30594175, 001692, 20.977884, -0.061779357, -4.7958245, -0.16126774, 0.06097267, -0.9850136, -0.0048208423
805731.3226175, 001693, 20.98893, -0.06084067, -4.786823, -0.15978661, 0.062411956, -0.98516905, -0.0038553912
805731.339292916, 001694, 20.999577, -0.059868798, -4.777898, -0.15909818, 0.06368337, -0.98520356, -0.0024796906
805731.355968583, 001695, 21.009813, -0.05892622, -4.7688603, -0.15860677, 0.06468435, -0.98522025, -0.0009480606
805731.372644125, 001696, 21.0199, -0.05801353, -4.7597218, -0.15785599, 0.06575842, -0.98527, 0.0005177169
805731.38931975, 001697, 21.029938, -0.057143766, -4.750482, -0.1567479, 0.06680478, -0.98537487, 0.0018975816
805731.405995083, 001698, 21.03988, -0.05635985, -4.74115, -0.15529421, 0.068056904, -0.9855164, 0.0030433927
805731.422670958, 001699, 21.049082, -0.05570722, -4.730942, -0.15370494, 0.06940142, -0.98566884, 0.0038855453
805731.439346166, 001700, 21.058273, -0.05517704, -4.720851, -0.15215126, 0.07091372, -0.9858008, 0.004242094
805731.456021958, 001701, 21.067553, -0.054799847, -4.711025, -0.15057266, 0.072729036, -0.9859118, 0.0040420247
805731.472697375, 001702, 21.076761, -0.054597184, -4.7012634, -0.14894144, 0.074481174, -0.9860315, 0.0033060338
805731.489373083, 001703, 21.085865, -0.054559648, -4.69155, -0.14746772, 0.075952046, -0.9861437, 0.0022702268
805731.506048583, 001704, 21.094881, -0.054682285, -4.681861, -0.14632404, 0.076983176, -0.9862358, 0.0013404401
805731.522724291, 001705, 21.103277, -0.054602265, -4.6720953, -0.14551844, 0.07776066, -0.98629457, 0.0007866579
805731.539399666, 001706, 21.111813, -0.054787673, -4.662222, -0.14494027, 0.07819887, -0.98634505, 0.00080195506
805731.556075375, 001707, 21.120596, -0.055326324, -4.652238, -0.14448968, 0.07855268, -0.9863826, 0.0012337286
805731.57275075, 001708, 21.129412, -0.0560813, -4.6421657, -0.14415874, 0.078939006, -0.986399, 0.0019522967
805731.589426375, 001709, 21.138193, -0.056988508, -4.632016, -0.14393283, 0.07921127, -0.9864081, 0.0028045254
805731.606101833, 001710, 21.14693, -0.05803371, -4.6217456, -0.14365608, 0.07915388, -0.9864503, 0.0036437074
805731.622777541, 001711, 21.154709, -0.059109062, -4.6123657, -0.14346696, 0.07882049, -0.986501, 0.004499
805731.639453041, 001712, 21.162676, -0.060312804, -4.6024995, -0.1435834, 0.0784264, -0.9865109, 0.0054151574
805731.656128625, 001713, 21.170994, -0.061628122, -4.5919313, -0.14403397, 0.07805616, -0.98646927, 0.0063041737
805731.672804125, 001714, 21.179392, -0.06298603, -4.580999, -0.14477128, 0.0776728, -0.9863859, 0.0071454947
805731.689479916, 001715, 21.187778, -0.06434229, -4.569785, -0.14562689, 0.07721842, -0.9862898, 0.007905572
805731.706155291, 001716, 21.196112, -0.06567342, -4.558297, -0.14626364, 0.07647977, -0.986248, 0.008518172
805731.722830875, 001717, 21.204458, -0.06627847, -4.5468326, -0.14647429, 0.07556533, -0.9862841, 0.008878177
805731.739506375, 001718, 21.212677, -0.067030564, -4.535056, -0.14670779, 0.074555814, -0.98632437, 0.00907661
805731.756181958, 001719, 21.220762, -0.067990005, -4.5229897, -0.14735687, 0.07351623, -0.9863037, 0.0092910575
805731.772857375, 001720, 21.228748, -0.06889488, -4.5107493, -0.14828843, 0.072262906, -0.9862536, 0.009608598
805731.789533166, 001721, 21.236702, -0.069688395, -4.498322, -0.1492251, 0.07109979, -0.9861944, 0.009861725
805731.806208625, 001722, 21.24465, -0.070305176, -4.485711, -0.15008678, 0.07007407, -0.9861346, 0.010104601
805731.822884333, 001723, 21.252596, -0.07065563, -4.4729104, -0.15066661, 0.06921455, -0.9861044, 0.010342
805731.839559708, 001724, 21.26056, -0.07058101, -4.4598927, -0.15104924, 0.0685558, -0.9860902, 0.010506697
805731.856235416, 001725, 21.26852, -0.0699829, -4.4467077, -0.15150818, 0.06784927, -0.9860681, 0.010552347
805731.872910666, 001726, 21.276371, -0.06908774, -4.4336395, -0.1523181, 0.06693121, -0.986008, 0.010377725
805731.889586375, 001727, 21.284212, -0.067866325, -4.420667, -0.1534234, 0.06613444, -0.98589534, 0.009888964
805731.906261875, 001728, 21.292067, -0.06642498, -4.407824, -0.15457687, 0.065565966, -0.98575807, 0.0093901865
805731.922937583, 001729, 21.299885, -0.06480614, -4.3951635, -0.15554258, 0.06496998, -0.9856467, 0.009262899
805731.939613, 001730, 21.307825, -0.06294255, -4.382549, -0.15617226, 0.06453911, -0.98557454, 0.009364635
805731.956288666, 001731, 21.31724, -0.060377352, -4.3693852, -0.15631478, 0.06414284, -0.9855777, 0.009379463
805731.972964125, 001732, 21.325214, -0.058368634, -4.3567133, -0.15632215, 0.06384049, -0.9855987, 0.009109517
805731.98963975, 001733, 21.332603, -0.056591414, -4.344298, -0.15638646, 0.06368864, -0.9856035, 0.008527344
805732.006315166, 001734, 21.339712, -0.054955307, -4.3321304, -0.15652573, 0.06374696, -0.9855853, 0.0075945677
805732.022990875, 001735, 21.34661, -0.053478416, -4.3202167, -0.15683872, 0.063801646, -0.9855406, 0.006370517
805732.03966625, 001736, 21.353508, -0.052167803, -4.3084183, -0.15713753, 0.064009994, -0.9854876, 0.0049716705
805732.056342041, 001737, 21.362923, -0.05018339, -4.295436, -0.15739483, 0.06444712, -0.98542434, 0.003492636
805732.073017375, 001738, 21.370796, -0.04896116, -4.2832174, -0.15730362, 0.0650107, -0.98540586, 0.002113016
805732.089693041, 001739, 21.378227, -0.04811089, -4.2711697, -0.15685378, 0.06560456, -0.98544, 0.0009185588
